Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,eShopLite.StoreFx.csproj,File,eShopLite.StoreFx.csproj,,,System.Memory 4.6.3,,,,,"System.Memory, 4.6.3  Recommendation:  Package functionality included with new framework reference"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,eShopLite.StoreFx.csproj,File,eShopLite.StoreFx.csproj,,,System.Numerics.Vectors 4.6.1,,,,,"System.Numerics.Vectors, 4.6.1  Recommendation:  Package functionality included with new framework reference"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,eShopLite.StoreFx.csproj,File,eShopLite.StoreFx.csproj,,,System.Threading.Tasks.Extensions 4.6.3,,,,,"System.Threading.Tasks.Extensions, 4.6.3  Recommendation:  Package functionality included with new framework reference"
NuGet.0005,NuGet package is deprecated,Active,Optional,1,eShopLite.StoreFx.csproj,File,eShopLite.StoreFx.csproj,,,Microsoft.AspNet.Web.Optimization 1.1.3,,,,,"Microsoft.AspNet.Web.Optimization, 1.1.3  Recommendation:  Should be replaced. Remove Microsoft.AspNet.Web.Optimization, and replace with new package LigerShark.WebOptimizer.Core, 3.0.477"
Project.0001,Project file needs to be converted to SDK-style,Active,Mandatory,1,eShopLite.StoreFx.csproj,File,eShopLite.StoreFx.csproj,,,,,,,,
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,eShopLite.StoreFx.csproj,File,eShopLite.StoreFx.csproj,,,,,,,,"Current target framework: .NETFramework,Version=v4.8 Recommended target framework: net10.0"
Feature.0001,System.Web.Optimization bundling and minification is not supported in .NET Core and should be replaced with actual html tags pointing to content files,Active,Mandatory,1,eShopLite.StoreFx.csproj,File,Views\Shared\_Layout.cshtml,,,,,,,,
Feature.1000,Convert application initialization code from Global.asax.cs to .NET Core and clean up Global.asax.cs,Active,Mandatory,1,eShopLite.StoreFx.csproj,File,Global.asax.cs,,,,,,,,
Binding.0006,Manual redirect conflicts with auto-generated version,Active,Mandatory,1,eShopLite.StoreFx.csproj,File,Web.config,,,,,Newtonsoft.Json,,,Manual redirect for Newtonsoft.Json targets 13.0.0.0 but auto-generation would target 13.0.3 (MSB3836 conflict)
Binding.0006,Manual redirect conflicts with auto-generated version,Active,Mandatory,1,eShopLite.StoreFx.csproj,File,Web.config,,,,,WebGrease,,,Manual redirect for WebGrease targets 1.6.5135.21930 but auto-generation would target 1.6.0 (MSB3836 conflict)
Binding.0006,Manual redirect conflicts with auto-generated version,Active,Mandatory,1,eShopLite.StoreFx.csproj,File,Web.config,,,,,System.Memory,,,Manual redirect for System.Memory targets 4.0.5.0 but auto-generation would target 4.6.3 (MSB3836 conflict)
Binding.0006,Manual redirect conflicts with auto-generated version,Active,Mandatory,1,eShopLite.StoreFx.csproj,File,Web.config,,,,,System.Threading.Tasks.Extensions,,,Manual redirect for System.Threading.Tasks.Extensions targets 4.2.4.0 but auto-generation would target 4.6.3 (MSB3836 conflict)
Binding.0006,Manual redirect conflicts with auto-generated version,Active,Mandatory,1,eShopLite.StoreFx.csproj,File,Web.config,,,,,Microsoft.Bcl.AsyncInterfaces,,,Manual redirect for Microsoft.Bcl.AsyncInterfaces targets 9.0.0.7 but auto-generation would target 9.0.7 (MSB3836 conflict)
Binding.0006,Manual redirect conflicts with auto-generated version,Active,Mandatory,1,eShopLite.StoreFx.csproj,File,Web.config,,,,,System.Runtime.CompilerServices.Unsafe,,,Manual redirect for System.Runtime.CompilerServices.Unsafe targets 6.0.3.0 but auto-generation would target 6.1.2 (MSB3836 conflict)
Binding.0006,Manual redirect conflicts with auto-generated version,Active,Mandatory,1,eShopLite.StoreFx.csproj,File,Web.config,,,,,System.Buffers,,,Manual redirect for System.Buffers targets 4.0.5.0 but auto-generation would target 4.6.1 (MSB3836 conflict)
Binding.0006,Manual redirect conflicts with auto-generated version,Active,Mandatory,1,eShopLite.StoreFx.csproj,File,Web.config,,,,,System.Diagnostics.DiagnosticSource,,,Manual redirect for System.Diagnostics.DiagnosticSource targets 9.0.0.7 but auto-generation would target 9.0.7 (MSB3836 conflict)
Binding.0007,Binding redirect forces version downgrade,Active,Potential,1,eShopLite.StoreFx.csproj,File,Web.config,,,,,Microsoft.Bcl.AsyncInterfaces,,,Binding redirect for Microsoft.Bcl.AsyncInterfaces targets 9.0.0.7 but package provides 9.0.7
Binding.0007,Binding redirect forces version downgrade,Active,Potential,1,eShopLite.StoreFx.csproj,File,Web.config,,,,,Newtonsoft.Json,,,Binding redirect for Newtonsoft.Json targets 13.0.0.0 but package provides 13.0.3
Binding.0007,Binding redirect forces version downgrade,Active,Potential,1,eShopLite.StoreFx.csproj,File,Web.config,,,,,System.Buffers,,,Binding redirect for System.Buffers targets 4.0.5.0 but package provides 4.6.1
Binding.0007,Binding redirect forces version downgrade,Active,Potential,1,eShopLite.StoreFx.csproj,File,Web.config,,,,,System.Diagnostics.DiagnosticSource,,,Binding redirect for System.Diagnostics.DiagnosticSource targets 9.0.0.7 but package provides 9.0.7
Binding.0007,Binding redirect forces version downgrade,Active,Potential,1,eShopLite.StoreFx.csproj,File,Web.config,,,,,System.Memory,,,Binding redirect for System.Memory targets 4.0.5.0 but package provides 4.6.3
Binding.0007,Binding redirect forces version downgrade,Active,Potential,1,eShopLite.StoreFx.csproj,File,Web.config,,,,,System.Runtime.CompilerServices.Unsafe,,,Binding redirect for System.Runtime.CompilerServices.Unsafe targets 6.0.3.0 but package provides 6.1.2
Binding.0007,Binding redirect forces version downgrade,Active,Potential,1,eShopLite.StoreFx.csproj,File,Web.config,,,,,System.Threading.Tasks.Extensions,,,Binding redirect for System.Threading.Tasks.Extensions targets 4.2.4.0 but package provides 4.6.3
